id_categoria;nome_categoria;appid 
1;Multi_player_Online Multi_Player_Local Multi_Player_Valve Anti_Cheat enabled;10
2;Multi_player_Online Multi_Player_Local Multi_Player_Valve Anti_Cheat enabled;20
3;Multi_player_Valve Anti_Cheat enabled;30
4;Multi_player_Online Multi_Player_Local Multi_Player_Valve Anti_Cheat enabled;40
5;Single_player_Multi_player_Valve Anti_Cheat enabled;50
6;Multi_player_Online Multi_Player_Valve Anti_Cheat enabled;60
7;Single_player_Multi_player_Online Multi_Player_Steam Cloud_Valve Anti_Cheat enabled;70
8;Single_player_Multi_player_Valve Anti_Cheat enabled;80
9;Single_player;130
10;Single_player_Steam Achievements_Steam Trading Cards_Captions available_Partial Controller Support_Steam Cloud_Includes Source SDK;220
11;Multi_player_Cross_Platform Multiplayer_Steam Achievements_Steam Cloud_Valve Anti_Cheat enabled_Stats_Includes Source SDK;240
12;Single_player;280
13;Multi_player_Cross_Platform Multiplayer_Steam Achievements_Steam Trading Cards_Valve Anti_Cheat enabled_Stats_Includes Source SDK;300
14;Multi_player_Valve Anti_Cheat enabled_Includes Source SDK;320
15;Single_player_Commentary available;340
16;Multi_player_Valve Anti_Cheat enabled;360
17;Single_player_Steam Achievements_Captions available_Partial Controller Support_Steam Cloud_Stats_Includes Source SDK_Commentary available;380
18;Single_player_Steam Achievements_Captions available_Partial Controller Support_Includes level editor_Includes Source SDK_Commentary available;400
19;Single_player_Steam Achievements_Captions available_Partial Controller Support_Steam Cloud_Stats_Includes Source SDK_Commentary available;420
20;Multi_player_Cross_Platform Multiplayer_Steam Achievements_Steam Trading Cards_Captions available_Steam Workshop_In_App Purchases_Partial Controller Support_Valve Anti_Cheat enabled_Stats_Includes level editor_Commentary available;440
21;Single_player_Multi_player_Co_op_Steam Achievements_Full controller support_Captions available_Steam Cloud_Valve Anti_Cheat enabled_Stats_Steam Leaderboards_Includes Source SDK_Commentary available;500
22;Single_player_Multi_player_Co_op_Steam Achievements_Full controller support_Steam Trading Cards_Captions available_Steam Workshop_Steam Cloud_Valve Anti_Cheat enabled_Stats_Includes Source SDK_Commentary available;550
23;Multi_player_Co_op_Steam Trading Cards_Steam Workshop_SteamVR Collectibles_In_App Purchases_Valve Anti_Cheat enabled;570
24;Single_player_Co_op_Steam Achievements_Full controller support_Steam Trading Cards_Captions available_Steam Workshop_Steam Cloud_Stats_Includes level editor_Commentary available;620
25;Single_player_Multi_player_Co_op_Steam Achievements_Captions available_Steam Cloud_Stats_Includes level editor;630
26;Multi_player_Steam Achievements_Full controller support_Steam Trading Cards_Steam Workshop_In_App Purchases_Valve Anti_Cheat enabled_Stats;730
27;Single_player_Multi_player;1002
28;Multi_player_Steam Achievements_Valve Anti_Cheat enabled;1200
29;Single_player_Multi_player_Co_op_Cross_Platform Multiplayer_Steam Achievements_Steam Trading Cards_Steam Workshop_Valve Anti_Cheat enabled_Stats_Includes level editor;1250
30;Single_player_Stats;1300
31;Single_player;1500
32;Single_player;1510
33;Single_player_Multi_player;1520
34;Single_player_Multi_player_Steam Achievements;1530
35;Single_player_Multi_player;1600
36;Single_player_Multi_player;1610
37;Single_player_Multi_player_Co_op;1630
38;Single_player_Multi_player_Co_op;1640
39;Single_player_Multi_player;1670
40;Single_player_Multi_player;1690
41;Single_player;1700
42;Steam Workshop;1840
43;Single_player_Multi_player_Co_op_Cross_Platform Multiplayer_Steam Trading Cards;1900
44;Single_player_Multi_player_Online Multi_Player_Online Co_op_Cross_Platform Multiplayer_Steam Trading Cards_Partial Controller Support;1930
45;Single_player_Multi_player_Valve Anti_Cheat enabled;2100
46;Single_player_Multi_player_Steam Cloud;2200
47;Single_player_Multi_player_Steam Cloud;2210
48;Single_player_Steam Cloud;2270
49;Single_player_Steam Cloud;2280
50;Single_player_Steam Cloud;2290
51;Single_player_Multi_player_Steam Cloud;2300
52;Single_player_Multi_player_Co_op_Steam Cloud;2310
53;Single_player_Multi_player_Co_op_Steam Cloud;2320
54;Single_player_Multi_player_Steam Cloud;2330
55;Single_player_Multi_player_Steam Cloud;2340
56;Single_player_Multi_player_Steam Cloud;2350
57;Single_player_Steam Cloud;2360
58;Single_player_Steam Cloud;2370
59;Single_player_Multi_player_Steam Cloud;2390
60;Single_player_Multi_player_Steam Trading Cards_Valve Anti_Cheat enabled;2400
61;Single_player_Multi_player_Steam Achievements;2450
62;Single_player_Shared_Split Screen_Steam Trading Cards;2500
63;Single_player;2520
64;Single_player;2590
65;Single_player;2600
66;Single_player;2610
67;Single_player_Multi_player;2620
68;Single_player_Multi_player;2630
69;Single_player_Multi_player;2640
70;Single_player_Multi_player;2710
71;Single_player_Multi_player_Includes level editor;2720
72;Single_player_Multi_player_Includes level editor;2780
73;Single_player_Captions available_Steam Cloud;2800
74;Single_player_Captions available_Steam Cloud;2810
75;Single_player_Steam Achievements_Full controller support_Captions available_Steam Cloud;2820
76;Single_player_Steam Cloud;2840
77;Single_player_Steam Cloud;2850
78;Single_player_Steam Achievements_Full controller support_Steam Trading Cards_Captions available_Steam Workshop_Steam Cloud;2870
79;Single_player_Multi_player;2900
80;Single_player;2910
81;Single_player_Multi_player_Co_op_Includes level editor;2920
82;Single_player;2990
83;Single_player_Multi_player;3010
84;Single_player_Multi_player_Steam Trading Cards;3020
85;Single_player_Multi_player;3050
86;Single_player_Steam Cloud;3130
87;Single_player_Steam Cloud;3170
88;Single_player_Multi_player;3230
89;Single_player;3260
90;Single_player_Multi_player;3270
91;Single_player;3330
92;Single_player;3410
93;Single_player;3480
94;Single_player;3483
95;Single_player;3490
96;Single_player;3500
97;Single_player;3510
98;Single_player;3520
99;Single_player;3530
100;Single_player;3540
101;Single_player;3560
102;Single_player;3570
103;Single_player;3580
104;Single_player_Steam Achievements;3590
105;Single_player;3600
106;Single_player;3610
107;Single_player_Steam Achievements_Stats;3620
108;Single_player_Steam Trading Cards;3700
109;Single_player_Multi_player_Co_op;3710
110;Single_player;3720
111;Single_player_Multi_player;3730
112;Single_player_Steam Trading Cards;3800
113;Single_player_Steam Trading Cards;3810
114;Single_player_Steam Trading Cards;3820
115;Single_player_Steam Achievements_Steam Trading Cards_Partial Controller Support_Steam Cloud;3830
116;Single_player_Multi_player_Includes level editor;3900
117;Single_player_Multi_player_Includes level editor;3910
118;Single_player;3920
119;Single_player_Multi_player;3960
120;Single_player;3980
121;Single_player;3990
122;Single_player_Multi_player_Co_op_Cross_Platform Multiplayer_Steam Achievements_Steam Trading Cards_Captions available_Steam Workshop_Steam Cloud_Valve Anti_Cheat enabled_Includes level editor;4000
123;Single_player;4100
124;Single_player_Multi_player;4230
125;Single_player_Multi_player;4290
126;Single_player_Partial Controller Support_Includes level editor;4300
127;Single_player;4420
128;Single_player;4460
129;Single_player_Multi_player;4470
130;Single_player_Multi_player;4500
131;Single_player_Multi_player_Co_op;4520
132;Single_player_Multi_player_Co_op;4530
133;Single_player_Multi_player_Steam Trading Cards_Steam Workshop_Steam Cloud;4560
134;Single_player_Multi_player_Steam Trading Cards_Steam Cloud;4570
135;Single_player_Multi_player_Steam Cloud;4580
136;Single_player_Multi_player_Steam Trading Cards;4700
137;Single_player;4720
138;Single_player_Multi_player_Steam Trading Cards;4760
139;Single_player_Multi_player;4770
140;Single_player_Multi_player;4780
141;Single_player_Multi_player;4800
142;Single_player_Multi_player;4850
143;Single_player;4870
144;Single_player;4880
145;Single_player_Multi_player_Online Multi_Player_Local Multi_Player;4890
146;Single_player;4900
147;Multi_player_Online Multi_Player_Steam Achievements_Steam Trading Cards_Steam Workshop_Steam Cloud_Valve Anti_Cheat enabled_Includes level editor;4920
148;Single_player_Multi_player_Local Multi_Player_Steam Cloud;6000
149;Single_player_Steam Cloud;6010
150;Single_player_Online Multi_Player_Local Multi_Player_Partial Controller Support_Steam Cloud;6020
151;Single_player_Online Multi_Player_Local Multi_Player_Partial Controller Support_Steam Cloud;6030
152;Single_player_Steam Cloud;6040
153;Single_player_Multi_player_Online Multi_Player_Partial Controller Support_Steam Cloud;6060
154;Single_player_Local Multi_Player_Co_op_Local Co_op_Shared_Split Screen_Partial Controller Support_Steam Cloud;6080
155;Single_player_Steam Cloud;6090
156;Single_player_Shared_Split Screen_Steam Achievements_Full controller support_Steam Cloud;6120
157;Single_player;6200
158;Single_player;6210
159;Single_player_Multi_player;6220
160;Single_player_Multi_player;6250
161;Single_player_Multi_player;6270
162;Single_player;6300
163;Single_player;6310
164;Single_player_Multi_player_MMO;6370
165;Single_player_Multi_player_Co_op_Shared_Split Screen;6400
166;Single_player_Multi_player_Includes level editor;6420
167;Single_player_Multi_player_Partial Controller Support_Valve Anti_Cheat enabled;6510
168;Single_player_Partial Controller Support;6550
169;Single_player_Multi_player_Co_op;6800
170;Single_player_Multi_player_Co_op;6810
171;Single_player_Multi_player_Co_op;6830
172;Single_player_Multi_player_Co_op;6840
173;Single_player;6850
174;Single_player;6860
175;Single_player;6870
176;Single_player;6880
177;Single_player;6900
178;Single_player_Multi_player;6910
179;Single_player;6920
180;Single_player;6980
181;Single_player_Partial Controller Support;7000
182;Single_player_Multi_player;7010
183;Single_player_Multi_player_Co_op;7020
184;Single_player_Partial Controller Support;7110
185;Single_player_Multi_player_Includes level editor;7200
186;Single_player;7210
187;Single_player;7220
188;Single_player_Multi_player;7260
189;Single_player;7340
190;Single_player_Steam Trading Cards_Partial Controller Support;7510
191;Single_player_Multi_player_Online Multi_Player_Co_op_Online Co_op_Cross_Platform Multiplayer_Steam Achievements_Full controller support_Steam Trading Cards_In_App Purchases_Steam Cloud;7520
192;Single_player_Steam Trading Cards_Steam Cloud;7530
193;Single_player_Multi_player;7600
194;Single_player_Multi_player;7610
195;Single_player;7620
196;Single_player;7650
197;Single_player;7660
198;Single_player_Multi_player;7730
199;Single_player;7760
200;Single_player_Multi_player;7770
201;Single_player_Multi_player_Steam Cloud_Includes level editor;7830
202;Single_player_Steam Cloud;7840
203;Single_player_Multi_player_Steam Cloud;7860
204;Single_player_Multi_player;7940
205;Single_player_Partial Controller Support;8000
206;Single_player_Multi_player_Shared_Split Screen_Partial Controller Support;8080
207;Single_player;8100
208;Single_player;8140
209;Single_player_Multi_player_Partial Controller Support;8170
210;Single_player_Steam Achievements_Full controller support_Steam Cloud;8190
211;Single_player;8310
212;Single_player;8320
213;Single_player;8330
214;Single_player;8340
215;Single_player_Full controller support;8400
216;Multi_player_Online Multi_Player_MMO_Co_op_Online Co_op_Steam Trading Cards;8500
217;Single_player_Multi_player;8600
218;Single_player_Multi_player;8790
219;Single_player;8800
220;Single_player_Steam Achievements_Full controller support_Steam Trading Cards_Steam Cloud;8870
221;Single_player_Multi_player;8880
222;Single_player_Multi_player;8890
223;Single_player_Multi_player_Steam Achievements_Steam Trading Cards_Steam Cloud;8930
224;Single_player_Steam Achievements;8970
225;Single_player_Steam Cloud;9000
226;Single_player_Multi_player_Steam Cloud;9010
227;Single_player_Multi_player_Steam Cloud;9030
228;Single_player_Multi_player_Steam Cloud;9040
229;Single_player_Multi_player_Steam Cloud;9050
230;Single_player_Multi_player_Co_op_Steam Cloud;9060
231;Single_player_Steam Cloud;9160
232;Single_player_Steam Cloud;9180
233;Single_player_Multi_player_Co_op_Steam Achievements_Partial Controller Support;9200
234;Single_player_Multi_player;9310
235;Single_player_Multi_player_Steam Cloud;9340
236;Single_player_Multi_player;9350
237;Single_player_Multi_player;9420
238;Single_player_Multi_player_Steam Cloud;9450
239;Single_player_Co_op_Steam Cloud;9460
240;Single_player_Steam Cloud;9480
241;Single_player_Multi_player;9500
242;Single_player;9710
243;Single_player_Multi_player;9760
244;Single_player_Steam Cloud;9800
245;Single_player_Multi_player_Co_op;9850
246;Multi_player_MMO_Co_op_Steam Achievements;9880
247;Multi_player_MMO_Co_op_Steam Achievements_Full controller support_In_App Purchases;9900
248;Single_player_Steam Achievements_Steam Trading Cards_Partial Controller Support_Steam Cloud;9940
249;Single_player_Partial Controller Support;9960
250;Single_player_Partial Controller Support;9970
251;Single_player;9980
252;Single_player_Multi_player_Co_op;10090
253;Single_player;10100
254;Single_player;10110
255;Single_player;10120
256;Single_player_Multi_player;10130
257;Single_player;10140
258;Single_player;10150
259;Single_player_Multi_player_Co_op_Steam Achievements_Steam Cloud_Valve Anti_Cheat enabled;10180
260;Single_player_Steam Achievements;10220
261;Single_player;10230
262;Single_player;10240
263;Single_player_Multi_player;10250
264;Single_player_Multi_player;10260
265;Single_player_Multi_player;10270
266;Single_player_Multi_player_Partial Controller Support;10460
267;Single_player_Multi_player_Steam Achievements_Steam Trading Cards_Stats;10500
268;Single_player_Multi_player_Co_op_Steam Achievements_Steam Cloud_Stats_Steam Leaderboards;10680
269;Single_player_Multi_player_Includes level editor;11020
270;Single_player;11040
271;Single_player;11050
272;Single_player;11130
273;Single_player;11140
274;Single_player;11150
275;Single_player;11190
276;Single_player_Shared_Split Screen_Steam Trading Cards_Includes level editor;11200
277;Single_player_Multi_player;11230
278;Single_player_Multi_player_Co_op_Steam Achievements;11240
279;Single_player_Multi_player_Steam Trading Cards;11250
280;Single_player_Multi_player_Steam Trading Cards;11260
281;Single_player_Multi_player_Online Multi_Player_Steam Trading Cards;11280
282;Single_player_Steam Achievements;11330
283;Single_player_Steam Achievements;11340
284;Single_player;11360
285;Single_player_Partial Controller Support;11450
286;Single_player_Multi_player_Co_op;11480
287;Single_player;11560
288;Single_player;11590
289;Single_player_Partial Controller Support;12100
290;Single_player_Partial Controller Support;12110
291;Single_player;12120
292;Single_player;12130
293;Single_player;12140
294;Single_player;12150
295;Single_player;12170
296;Single_player;12180
297;Single_player_Partial Controller Support;12200
298;Single_player_Multi_player_Partial Controller Support;12210
299;Single_player_Multi_player;12220
300;Single_player;12310
301;Single_player;12320
302;Single_player;12330
303;Single_player_Steam Trading Cards;12340
304;Single_player_Multi_player;12360
305;Single_player_Multi_player_Partial Controller Support;12390
306;Single_player_Multi_player;12420
307;Single_player;12430
308;Single_player;12440
